Context,Answer,Gold,Generated,Correct,Error Type,Semantic Error,Answer Revealing,Ghost Entity,Redundant ,Unanswerable 
"Prince Albert appears within the main arch above the twin entrances, Queen Victoria above the frame around the arches and entrance, sculpted by Alfred Drury. These façades surround four levels of galleries. Other areas designed by Webb include the Entrance Hall and Rotunda, the East and West Halls, the areas occupied by the shop and Asian Galleries as well as the Costume Gallery. The interior makes much use of marble in the entrance hall and flanking staircases, although the galleries as originally designed were white with restrained classical detail and mouldings, very much in contrast to the elaborate decoration of the Victorian galleries, although much of this decoration was removed in the early 20th century.",Alfred Drury,Who designed the Entrance Hall and Rotunda?,Who designed the Entrance Hall?,0,SE,,,,,
"In early 1961, direct ascent was generally the mission mode in favor at NASA. Many engineers feared that a rendezvous —let alone a docking— neither of which had been attempted even in Earth orbit, would be extremely difficult in lunar orbit. Dissenters including John Houbolt at Langley Research Center emphasized the important weight reductions that were offered by the LOR approach. Throughout 1960 and 1961, Houbolt campaigned for the recognition of LOR as a viable and practical option. Bypassing the NASA hierarchy, he sent a series of memos and reports on the issue to Associate Administrator Robert Seamans; while acknowledging that he spoke ""somewhat as a voice in the wilderness,"" Houbolt pleaded that LOR should not be discounted in studies of the question.",1961,In what year was direct ascent the primary mission focus at NASA?,What was direct ascent the primary mission focus at NASA?,0,SE,,,,,
"A Turing machine is a mathematical model of a general computing machine. It is a theoretical device that manipulates symbols contained on a strip of tape. Turing machines are not intended as a practical computing technology, but rather as a thought experiment representing a computing machine—anything from an advanced supercomputer to a mathematician with a pencil and paper. It is believed that if a problem can be solved by an algorithm, there exists a Turing machine that solves the problem. Indeed, this is the statement of the Church–Turing thesis. Furthermore, it is known that everything that can be computed on other models of computation known to us today, such as a RAM machine, Conway's Game of Life, cellular automata or any programming language can be computed on a Turing machine. Since Turing machines are easy to analyze mathematically, and are believed to be as powerful as any other model of computation, the Turing machine is the most commonly used model in complexity theory.",A Turing machine,What is the term for a mathematical model that theoretically represents a general computing machine?,What is the definition of a mathematical model?,0,SE,,,,,
"Mortgage bankers, accountants, and cost engineers are likely participants in creating an overall plan for the financial management of the building construction project. The presence of the mortgage banker is highly likely, even in relatively small projects since the owner's equity in the property is the most obvious source of funding for a building project. Accountants act to study the expected monetary flow over the life of the project and to monitor the payouts throughout the process. Cost engineers and estimators apply expertise to relate the work and materials involved to a proper valuation. Cost overruns with government projects have occurred when the contractor identified change orders or project changes that increased costs, which are not subject to competition from other firms as they have already been eliminated from consideration after the initial bid.",identified change orders or project changes that increased costs,Cost overruns with government projects have occurred when the contractor did what?,What have cost overruns occurred when the contractor did what?,0,Semantic Error,,,,,
"The historian Francis Aidan Gasquet wrote about the 'Great Pestilence' in 1893 and suggested that ""it would appear to be some form of the ordinary Eastern or bubonic plague"". He was able to adopt the epidemiology of the bubonic plague for the Black Death for the second edition in 1908, implicating rats and fleas in the process, and his interpretation was widely accepted for other ancient and medieval epidemics, such as the Justinian plague that was prevalent in the Eastern Roman Empire from 541 to 700 CE.",Francis Aidan Gasquet,Who wrote about the great pestilence in 1893?,Who wrote about pestilence in 1893?,0,Semantic error,,,,,
"The Upper Rhine region was changed significantly by a Rhine straightening program in the 19th Century. The rate of flow was increased and the ground water level fell significantly. Dead branches dried up and the amount of forests on the flood plains decreased sharply. On the French side, the Grand Canal d'Alsace was dug, which carries a significant part of the river water, and all of the traffic. In some places, there are large compensation pools, for example the huge Bassin de compensation de Plobsheim in Alsace.",Grand Canal d'Alsace,What carries a significant amount of the Rhine flow through France?,What does the Rhine flow through France,0,Semantic Error,,,,,
"The judicial branch of the EU has played an important role in the development of EU law, by assuming the task of interpreting the treaties, and accelerating economic and political integration. Today the Court of Justice of the European Union (CJEU) is the main judicial body, within which there is a higher European Court of Justice (commonly abbreviated as ECJ) that deals with cases that contain more public importance, and a General Court that deals with issues of detail but without general importance. There is also a Civil Service Tribunal to deal with EU staff issues, and then a separate Court of Auditors. Under the Treaty on European Union article 19(2) there is one judge from each member state, 28 at present, who are supposed to ""possess the qualifications required for appointment to the highest judicial offices"" (or for the General Court, the ""ability required for appointment to high judicial office""). A president is elected by the judges for three years. Under TEU article 19(3) is to be the ultimate court to interpret questions of EU law. In fact, most EU law is applied by member state courts (the English Court of Appeal, the German Bundesgerichtshof, the Belgian Cour du travail, etc.) but they can refer questions to the EU court for a preliminary ruling. The CJEU's duty is to ""ensure that in the interpretation and application of the Treaties the law is observed"", although realistically it has the ability to expand and develop the law according to the principles it deems to be appropriate. Arguably this has been done through both seminal and controversial judgments, including Van Gend en Loos, Mangold v Helm, and Kadi v Commission.","to ""ensure that in the interpretation and application of the Treaties the law is observed""",What is the CJEU's duty?,What is the CJEU's duty?,1,,SE,AR,GE,RE,UA
"Ranging from about 1 millimeter (0.039 in) to 1.5 meters (4.9 ft) in size, ctenophores are the largest non-colonial animals that use cilia (""hairs"") as their main method of locomotion. Most species have eight strips, called comb rows, that run the length of their bodies and bear comb-like bands of cilia, called ""ctenes,"" stacked along the comb rows so that when the cilia beat, those of each comb touch the comb below. The name ""ctenophora"" means ""comb-bearing"", from the Greek κτείς (stem-form κτεν-) meaning ""comb"" and the Greek suffix -φορος meaning ""carrying"".",cilia,What are the hairs on ctenophores called?,What are hairs on ctenophores called?,1,,,,,,
"NE1fm launched on 8 June 2007, the first full-time community radio station in the area. Newcastle Student Radio is run by students from both of the city's universities, broadcasting from Newcastle University's student's union building during term time. Radio Tyneside has been the voluntary hospital radio service for most hospitals across Newcastle and Gateshead since 1951, broadcasting on Hospedia  and online. The city also has a Radio Lollipop station based at the Great North Children's Hospital in the Newcastle Royal Victoria Infirmary.",Newcastle Student Radio,What radio station do the students of Newcastle's two universities run?,What radio station do students of Newcastle's two universities run,1,,,,,,
"Some theories of civil disobedience hold that civil disobedience is only justified against governmental entities. Brownlee argues that disobedience in opposition to the decisions of non-governmental agencies such as trade unions, banks, and private universities can be justified if it reflects ""a larger challenge to the legal system that permits those decisions to be taken"". The same principle, she argues, applies to breaches of law in protest against international organizations and foreign governments.","trade unions, banks, and private universities",Brownlee argues disobedience can be justified toward what institutions?,What does Brownlee believe disobedience can be justified toward?,1,,,,,,
